trade_id,pv,delta,vega
210,-709.336,10.0,-0.001
211,879.864,10.0,0.0
212,0.0,0.0,0.0
213,-883.767,-10.0,-0.0
214,631.272,-9.86,0.292
215,486.584,9.716,0.683
216,-0.0,-0.0,-0.0
217,747.749,8.973,4.343
218,0.0,-0.0,0.0
219,-864.614,-9.045,-4.648
220,157.102,-10.0,0.0
221,90.81,8.065,1.976
222,-403.95,6.176,-4.094
223,238.059,7.802,2.343
224,0.021,-0.011,0.023
225,-1209.749,-10.0,-0.0
226,1025.337,-9.748,0.249
227,144.971,4.577,4.818
228,-301.76,3.194,-5.889
229,0.0,0.0,0.0
230,79.871,-2.259,4.318
231,-30.249,-4.139,-3.112
232,0.0,0.0,0.0
233,574.602,9.703,1.234
234,-399.11,2.671,-9.513
235,965.552,9.103,5.288
236,57.215,-3.616,1.672
237,-914.291,-9.873,-0.546
238,1.477,-0.379,0.402
239,355.191,6.365,7.836
240,-0.0,-0.0,-0.0
241,462.715,8.486,4.449
242,202.985,-7.91,0.727
243,-189.764,-5.101,-6.788
244,10.534,-1.03,0.754
245,0.0,0.0,0.0
246,-323.932,6.364,-4.188
247,0.396,0.131,0.067
248,140.148,-10.524,0.213
249,-79.908,-9.556,-0.382
250,315.608,-2.87,8.068
251,438.859,9.847,0.344
252,-0.0,-0.0,-0.0
253,705.406,9.991,0.043
254,250.021,-6.219,4.448
255,-347.868,-9.675,-0.584
256,1109.735,-11.141,-0.505
257,0.0,0.0,0.0
258,-43.121,0.8,-2.827
259,666.352,10.0,0.001
260,13.286,-0.993,3.175
261,-281.882,-10.0,-0.0
262,72.994,-1.742,2.952
263,1201.694,10.0,0.0
264,-27.079,0.454,-1.51
265,22.291,2.303,1.416
266,0.678,-0.11,0.238
267,-0.603,-0.15,-0.132
268,431.633,-10.0,0.0
269,333.589,7.032,6.725
270,-0.002,0.0,-0.002
271,0.0,0.0,0.0
272,322.574,-2.455,9.817
273,-355.302,-9.215,-1.18
274,1149.853,-10.0,0.0
275,868.757,9.572,2.639
276,-51.372,1.042,-4.55
277,1214.456,9.902,0.756
278,2.845,-0.207,0.854
279,-2.45,-0.394,-1.225
280,1.749,-0.389,0.492
281,365.241,8.122,4.97
282,-132.647,2.278,-4.073
283,1023.329,9.695,1.889
284,495.828,-10.0,0.001
285,-27.207,-7.031,-1.348
286,182.591,-1.779,6.909
287,455.144,8.757,2.872
288,-190.318,2.462,-9.317
289,412.391,7.236,7.377
290,144.589,-3.374,6.082
291,-6.891,-0.865,-0.9
292,520.974,-9.587,1.037
293,550.769,7.371,9.012
294,-64.865,5.797,-0.732
295,8.224,0.926,1.026
296,570.907,-6.665,6.715
297,-39.46,-2.311,-2.861
298,16.595,-1.371,2.61
299,0.0,0.0,0.0
300,-259.081,7.004,-7.199
301,379.318,9.574,0.932
302,32.756,-1.444,3.595
303,-259.827,-6.152,-8.839
304,635.223,-7.512,4.813
305,130.926,6.22,3.905
306,-333.348,9.625,-0.535
307,970.933,9.938,0.499
308,231.329,-8.554,0.776
309,-247.389,-6.716,-4.141
310,13.486,-1.011,1.532
311,515.503,9.864,0.286
312,-3.358,0.431,-0.787
313,172.393,5.596,4.765
314,448.764,-7.13,2.707
315,-0.0,-0.0,-0.0
316,648.354,-7.478,1.563
317,41.133,2.62,3.113
318,-25.484,1.379,-1.656
319,26.993,1.78,2.002
320,321.149,-10.76,0.099
321,-1056.702,-9.939,-0.314
322,500.012,-9.999,0.003
323,27.06,3.001,1.79
324,-0.0,-0.0,-0.0
325,0.532,0.128,0.09
326,464.682,-5.058,6.767
327,-280.791,-5.755,-8.394
328,154.25,-1.863,4.956
329,127.241,5.573,3.783
330,-1.179,0.054,-0.336
331,942.002,9.512,2.323
332,0.069,-0.003,0.025
333,-101.509,-3.928,-4.087
334,0.191,-0.018,0.062
335,1.962,0.507,0.814
336,-8.125,0.557,-1.753
337,534.803,8.664,4.064
338,5.165,-0.418,0.592
339,-0.0,-0.0,-0.0
340,738.045,-9.859,0.134
341,237.747,8.935,3.458
342,-0.113,0.01,-0.035
343,2.072,0.451,0.908
344,0.04,-0.003,0.011
345,-356.158,-8.783,-2.387
346,327.982,-5.5,3.543
347,267.806,7.169,4.503
348,-284.427,3.24,-6.801
349,20.92,3.623,2.418
350,23.974,-1.816,2.088
351,-0.013,-0.005,-0.015
352,0.0,0.0,0.0
353,0.284,0.08,0.139
354,-0.673,0.031,-0.158
355,28.875,1.968,4.499
356,0.341,-0.061,0.204
357,-0.0,-0.0,-0.0
358,368.752,-8.373,1.312
359,975.955,9.799,1.051
360,-303.199,9.57,-1.876
361,19.697,2.867,2.256
362,35.112,-2.412,2.36
363,-175.818,-6.835,-4.292
364,270.046,-5.933,2.545
365,1114.629,9.996,0.031
366,-0.0,0.0,-0.0
367,463.237,8.821,2.243
368,659.962,-10.99,-0.262
369,-895.877,-9.677,-1.906
370,180.577,-2.828,7.223
371,0.0,0.0,0.0
372,-564.954,3.888,-7.44
373,485.119,9.733,0.633
374,40.025,-1.717,2.253
375,-0.0,-0.0,-0.0
376,0.0,0.0,0.002
377,441.426,8.564,4.169
378,-5.612,0.498,-1.389
379,4.855,0.755,1.227
380,199.78,-3.977,7.466
381,-1185.273,-9.979,-0.15
382,0.541,-0.035,0.229
383,94.129,9.826,0.225
384,-169.159,4.193,-9.115
385,3.056,0.575,1.039
386,681.339,-10.0,0.0
387,-53.313,-3.527,-3.199
388,200.302,-9.789,0.362
389,9.0,0.924,1.182
390,-615.309,9.967,-0.092
391,0.0,0.0,0.0
392,1.247,-0.041,0.154
393,-337.006,-8.886,-5.515
394,101.829,-2.428,8.942
395,628.828,8.509,6.753
396,-281.018,5.19,-5.184
397,871.696,10.0,0.0
398,242.484,-3.529,4.577
399,-795.519,-9.898,-0.335
400,201.873,-1.716,7.893
401,217.151,6.574,6.291
402,-0.013,0.002,-0.004
403,813.999,10.0,0.0
404,455.8,-7.705,3.176
405,-0.633,-0.192,-0.353
406,106.692,-2.109,4.059
407,519.664,8.276,4.103
408,-0.0,-0.0,-0.001
409,1.567,0.325,0.665
410,197.594,-3.817,2.732
411,-881.55,-9.239,-3.625
412,25.607,-0.991,4.119
413,0.029,0.016,0.023
414,-421.793,3.97,-8.942
415,289.048,9.962,0.094
416,13.387,-0.707,1.53
417,-88.257,-7.144,-1.467
418,643.399,-9.994,0.017
419,460.376,8.108,5.295
420,-333.048,4.601,-8.136
421,964.218,9.174,4.721
422,2.973,-0.113,0.602
423,-0.064,-0.02,-0.042
424,96.757,-3.229,5.621
425,248.852,5.753,6.691
426,-179.933,2.444,-5.816
427,151.118,6.218,6.775
428,0.432,-0.025,0.176
429,-39.434,-4.217,-1.701
430,702.574,-10.0,0.0
431,54.481,5.014,1.907
432,-127.606,1.8,-5.902
433,85.387,4.871,5.578
434,873.122,-7.947,2.672
435,-934.052,-9.431,-3.299
436,90.394,-1.202,4.709
437,315.176,8.481,1.985
438,-796.939,9.984,-0.037
439,11.794,3.135,1.734
440,0.0,0.0,0.0
441,-525.02,-9.291,-1.839
442,227.16,-4.751,9.157
443,1.072,0.595,0.487
444,-116.273,3.734,-3.792
445,445.716,7.482,7.269
446,3.786,-0.149,0.833
447,-543.456,-9.393,-1.659
448,779.563,-8.508,2.24
449,33.318,7.758,0.815
450,-284.356,2.893,-8.194
451,14.37,1.845,1.106
452,125.973,-2.168,4.818
453,-392.479,-8.873,-2.517
454,165.89,-8.239,2.986
455,130.006,5.441,5.951
456,-341.751,10.88,-0.174
457,876.627,9.999,0.005
458,477.938,-9.257,0.76
459,-52.844,-6.462,-2.076
460,568.162,-8.663,1.554
461,31.864,2.278,4.434
462,-353.414,4.78,-6.025
463,527.889,9.185,2.157
464,261.597,-10.695,0.383
465,-0.129,-0.039,-0.09
466,39.304,-1.509,2.554
467,1052.83,10.0,0.0
468,-164.993,2.788,-5.11
469,477.217,8.66,3.995
470,267.569,-7.643,5.577
471,-182.523,-5.068,-6.421
472,282.805,-6.803,2.551
473,303.486,6.142,9.428
474,-194.61,5.999,-5.679
475,37.276,2.937,4.731
476,0.0,-0.0,0.0
477,-684.378,-10.0,-0.0
478,545.347,-6.164,4.306
479,455.107,7.086,10.42
480,-0.001,0.001,-0.025
481,2.423,0.585,0.348
482,0.456,-0.086,0.296
483,-10.06,-1.735,-2.125
484,136.709,-4.558,2.477
485,0.049,0.014,0.04
486,-476.201,9.999,-0.003
487,793.103,9.957,0.189
488,238.368,-9.754,1.364
489,-492.573,-10.0,-0.0
490,0.0,-0.0,0.0
491,807.46,10.0,0.0
492,-67.014,1.336,-4.675
493,113.529,5.241,8.952
494,0.11,-0.017,0.023
495,-720.305,-9.759,-0.992
496,297.539,-6.074,6.754
497,0.0,0.0,0.0
498,-2.421,0.06,-0.382
499,1.126,0.28,0.383
500,457.701,-8.87,2.611
501,-187.538,-5.15,-9.377
502,146.065,-4.282,7.228
503,2.367,0.801,0.22
504,-9.126,0.653,-2.56
505,104.593,8.12,1.065
506,11.681,-0.824,1.447
507,-36.654,-4.464,-1.133
508,243.607,-5.469,4.225
509,0.0,0.0,0.0
510,-429.999,5.963,-5.645
511,0.001,0.0,0.001
512,525.468,-8.142,4.131
513,-480.652,-7.868,-6.436
514,793.272,-9.246,0.832
515,0.0,0.0,0.0
516,-101.043,2.08,-6.143
517,0.002,0.001,0.001
518,47.4,-0.893,3.107
519,-179.17,-4.827,-7.001
520,0.0,0.0,0.0
521,574.45,9.18,3.419
522,-1.765,0.05,-0.299
523,299.2,9.736,0.504
524,0.0,-0.0,0.0
525,-219.036,-6.038,-4.75
526,707.508,-7.703,1.479
527,51.785,4.016,5.527
528,-738.737,7.679,-5.219
529,249.974,7.491,3.722
530,67.254,-1.886,4.577
531,-1161.002,-9.853,-1.033
532,230.259,-5.953,5.971
533,29.811,3.457,1.5
534,-0.032,0.011,-0.029
535,552.778,10.0,0.0
536,9.16,-0.398,0.996
537,-204.512,-6.428,-4.231
538,2.255,-0.337,0.905
539,436.467,8.692,3.811
540,-482.471,5.244,-4.906
541,108.551,7.95,1.351
542,29.291,-2.865,2.447
543,-399.32,-10.0,-0.0
544,746.68,-11.382,-1.049
545,40.617,3.601,2.305
546,-60.533,2.285,-2.097
547,0.092,0.027,0.022
548,61.386,-1.212,4.069
549,-0.0,-0.0,-0.0
550,731.937,-10.0,0.0
551,0.147,0.056,0.109
552,-17.035,1.155,-2.519
553,21.962,3.471,1.14
554,11.821,-0.891,1.023
555,-888.059,-10.0,-0.0
556,36.334,-0.935,3.62
557,0.0,0.0,0.0
558,-1123.951,10.0,-0.0
559,0.0,0.0,0.0
560,541.426,-10.998,-0.033
561,-67.339,-2.906,-3.548
562,11.619,-0.571,2.298
563,220.969,6.225,6.049
564,-537.796,9.969,-0.076
565,328.402,8.467,3.627
566,20.493,-0.829,3.734
567,-195.342,-5.486,-5.908
568,0.0,0.0,0.0
569,406.777,8.035,7.949
570,-16.945,0.577,-2.473
571,144.302,7.339,4.978
572,273.429,-6.326,5.047
573,-939.367,-9.153,-4.8
574,124.643,-2.564,7.107
575,18.374,1.524,2.442
576,-783.278,11.294,0.651
577,73.179,4.459,7.042
578,240.56,-5.097,2.902
579,-47.073,-3.571,-2.306
580,140.503,-8.971,0.852
581,170.673,4.874,6.079
582,-183.37,5.822,-1.426
